formulas=25 thresholds=111 decoded=57
formulas=50 thresholds=236 decoded=114
formulas=75 thresholds=361 decoded=166
formulas=100 thresholds=486 decoded=212
formulas=125 thresholds=611 decoded=271
formulas=150 thresholds=736 decoded=326
formulas=175 thresholds=861 decoded=389
formulas=200 thresholds=986 decoded=444
formulas=225 thresholds=1111 decoded=505
formulas=250 thresholds=1250 decoded=564
formulas=275 thresholds=1407 decoded=649
formulas=300 thresholds=1582 decoded=728
formulas=325 thresholds=1749 decoded=810
PASS instances=327 thresholds=1759 decoded=815
