1/41 exhaustive_2_0_0: target_opt=0 outputs=1 all_optima=True
2/41 exhaustive_3_2_1: target_opt=198 outputs=128 all_optima=False
3/41 exhaustive_4_0_6: target_opt=287 outputs=128 all_optima=False
4/41 exhaustive_4_0_14: target_opt=1345 outputs=128 all_optima=False
5/41 exhaustive_4_1_7: target_opt=1397 outputs=128 all_optima=False
6/41 exhaustive_4_2_0: target_opt=280 outputs=128 all_optima=False
7/41 exhaustive_4_2_8: target_opt=1401 outputs=128 all_optima=False
8/41 exhaustive_4_3_1: target_opt=1345 outputs=128 all_optima=False
9/41 exhaustive_4_3_9: target_opt=292 outputs=128 all_optima=False
10/41 exhaustive_4_4_2: target_opt=291 outputs=128 all_optima=False
11/41 exhaustive_4_4_10: target_opt=1423 outputs=128 all_optima=False
12/41 exhaustive_4_5_3: target_opt=1375 outputs=128 all_optima=False
13/41 exhaustive_4_5_11: target_opt=301 outputs=128 all_optima=False
14/41 exhaustive_4_6_4: target_opt=1397 outputs=128 all_optima=False
15/41 exhaustive_4_6_12: target_opt=1375 outputs=128 all_optima=False
16/41 exhaustive_4_7_5: target_opt=1423 outputs=128 all_optima=False
17/41 exhaustive_4_7_13: target_opt=1423 outputs=128 all_optima=False
18/41 exhaustive_4_8_6: target_opt=300 outputs=128 all_optima=False
19/41 exhaustive_4_8_14: target_opt=302 outputs=128 all_optima=False
20/41 exhaustive_4_9_7: target_opt=302 outputs=128 all_optima=False
21/41 exhaustive_4_10_0: target_opt=1375 outputs=128 all_optima=False
22/41 exhaustive_4_10_8: target_opt=307 outputs=128 all_optima=False
23/41 exhaustive_4_11_1: target_opt=1401 outputs=128 all_optima=False
24/41 exhaustive_4_11_9: target_opt=300 outputs=128 all_optima=False
25/41 exhaustive_4_12_2: target_opt=1345 outputs=128 all_optima=False
26/41 exhaustive_4_12_10: target_opt=1401 outputs=128 all_optima=False
27/41 exhaustive_4_13_3: target_opt=1371 outputs=128 all_optima=False
28/41 exhaustive_4_13_11: target_opt=302 outputs=128 all_optima=False
29/41 exhaustive_4_14_4: target_opt=297 outputs=128 all_optima=False
30/41 exhaustive_4_14_12: target_opt=290 outputs=128 all_optima=False
31/41 seeded_5_5: target_opt=1963 outputs=128 all_optima=False
32/41 seeded_5_13: target_opt=4024 outputs=128 all_optima=False
33/41 seeded_5_21: target_opt=1967 outputs=128 all_optima=False
34/41 seeded_5_29: target_opt=1924 outputs=128 all_optima=False
35/41 seeded_6_5: target_opt=8505 outputs=128 all_optima=False
36/41 seeded_6_13: target_opt=2417 outputs=128 all_optima=False
37/41 seeded_6_21: target_opt=2523 outputs=128 all_optima=False
38/41 seeded_6_29: target_opt=4965 outputs=128 all_optima=False
39/41 seeded_7_5: target_opt=10600 outputs=128 all_optima=False
40/41 seeded_7_13: target_opt=6012 outputs=128 all_optima=False
41/41 legacy_rSPR1_3: target_opt=198 outputs=128 all_optima=False
candidate: instances=41 recoveries=5121 capped_instances=40
